#MaunaKea 3.3mm N  14000ft Std		
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wavelength	b(sqrt crv gr)	c (lin crv gr)
7	0.52276203	4.71970027
7.002	2.39728547	3.0305668
7.004	0.1787131	2.36378362
7.006	0.08647752	2.1645218
7.008	0.00535951	1.84767529
7.01	0.19531941	2.11558395
7.012	0.29511837	2.07285307
7.014	0.1575113	2.36143122
7.016	0.15135847	2.75803168
7.018	1.54675269	3.52865613
7.02	0.80205285	8.57199962
7.022	27.7251474	-11.846575
7.024	27.7251474	-11.846575
7.026	13.0106682	-0.3703992
7.028	-12.952523	18.8507952
7.03	0.2265154	4.28405623
7.032	0.04960433	4.24054503
7.034	0.49870534	4.74258806
7.036	-2.1040324	8.50124077
7.038	-0.7299311	9.75763396
7.04	27.7251474	-11.846575
7.042	27.7251474	-11.846575
7.044	27.7251474	-11.846575
7.046	27.7251474	-11.846575
7.048	27.7251474	-11.846575
7.05	27.7251474	-11.846575
7.052	27.7251474	-11.846575
7.054	27.7251474	-11.846575
7.056	27.7251474	-11.846575
7.058	0.07219479	6.31807739
7.06	0.17076201	5.9870253
7.062	2.30831173	7.41973769
7.064	0.67149234	2.72354009
7.066	0.29557558	2.39018183
7.068	1.96004116	1.62569306
7.07	0.23908302	1.9681246
7.072	0.08464456	1.45520007
7.074	0.03871868	1.26491503
7.076	0.00024034	1.09799
7.078	0.00873364	1.20065627
7.08	0.36494472	1.5528571
7.082	3.77623545	3.18186275
7.084	1.46110979	5.19204497
7.086	0.96439283	1.21675785
7.088	0.00463421	1.13612
7.09	0.21157096	1.2619272
7.092	2.59386773	2.31968735
7.094	0.76895834	1.18494836
7.096	0.00822967	0.9622756
7.098	0.01709718	0.96256928
7.1	0.44511786	1.3291217
7.102	0.00170416	0.95194275
7.104	0.0038773	1.00545351
7.106	0.13456286	1.33084629
7.108	0.02242974	1.4709801
7.11	0.10208425	1.99284387
7.112	0.43925574	3.02656334
7.114	1.28932995	5.2791238
7.116	27.7251474	-11.846575
7.118	27.7251474	-11.846575
7.12	6.36612625	4.53348855
7.122	1.05605715	3.77832731
7.124	0.16777826	3.10743326
7.126	0.79625924	1.84165766
7.128	0.0471377	1.9136805
7.13	0.06070455	1.69391795
7.132	0.0174303	1.66189549
7.134	0.0071554	1.78838079
7.136	0.03699766	2.10493473
7.138	0.19031773	2.80442939
7.14	1.0954624	3.64436966
7.142	-9.8572393	16.530358
7.144	27.7251474	-11.846575
7.146	27.7251474	-11.846575
7.148	27.7251474	-11.846575
7.15	27.7251474	-11.846575
7.152	4.98836399	5.86773891
7.154	27.7251474	-11.846575
7.156	0.95748639	5.44317455
7.158	0.02296722	4.58148094
7.16	0.36810237	5.14170008
7.162	6.23630122	4.58743952
7.164	27.7251474	-11.846575
7.166	27.7251474	-11.846575
7.168	27.7251474	-11.846575
7.17	27.7251474	-11.846575
7.172	27.7251474	-11.846575
7.174	27.7251474	-11.846575
7.176	-8.3056153	15.3700911
7.178	0.48218831	3.79239022
7.18	0.13557251	2.73110975
7.182	0.02414605	2.26264703
7.184	0.31914777	1.78648025
7.186	0.01006443	1.60925535
7.188	0.67663826	1.92545923
7.19	1.15102725	2.17298726
7.192	1.59741721	1.79279962
7.194	0.67805119	1.76694601
7.196	0.12020001	1.77933542
7.198	0.14347963	1.96375801
7.2	0.13291921	2.82597215
7.202	2.03099029	3.46954102
7.204	1.54117863	8.03612328
7.206	27.7251474	-11.846575
7.208	27.7251474	-11.846575
7.21	27.7251474	-11.846575
7.212	27.7251474	-11.846575
7.214	2.06098849	4.55120943
7.216	0.46497287	2.48766178
7.218	0.1257646	1.95233332
7.22	0.02607977	1.26862184
7.222	0.00442456	0.9653284
7.224	0.00506992	0.91863929
7.226	0.01476497	0.81188747
7.228	0.54564073	1.29642069
7.23	0.28021558	0.83650173
7.232	0.00084791	0.57831193
7.234	0.04863705	0.78019902
7.236	0.7857406	0.69011901
7.238	0.02978595	0.67733613
7.24	-1.75E-05	0.54521977
7.242	0.00420935	0.59278727
7.244	0.4698832	0.77397632
7.246	0.80880217	1.89643862
7.248	4.04363086	2.79536473
7.25	0.77251029	1.17044793
7.252	0.02446762	1.11836441
7.254	2.00814705	1.15508379
7.256	1.32619227	2.042467
7.258	0.95463464	1.19011782
7.26	0.01510292	1.19302612
7.262	0.04846005	1.46185176
7.264	0.02506345	1.56275662
7.266	0.17572033	2.16496248
7.268	0.85605737	3.28308788
7.27	0.37037313	8.88719647
7.272	27.7251474	-11.846575
7.274	27.7251474	-11.846575
7.276	27.7251474	-11.846575
7.278	27.7251474	-11.846575
7.28	27.7251474	-11.846575
7.282	-2.9072535	11.325292
7.284	0.95360705	3.60354186
