#MaunaKea 3.3mm N  14000ft Std		
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wavelength	b(sqrt crv gr)	c (lin crv gr)
7.286	0.55716508	3.18662244
7.288	1.44340433	1.99231456
7.29	0.09249766	1.42955479
7.292	0.04060392	1.17270693
7.294	0.46054002	1.40981433
7.296	0.04077467	0.92958348
7.298	0.00372658	0.90059633
7.3	0.7503323	1.23299291
7.302	0.63499761	1.80761853
7.304	1.28326031	2.51302657
7.306	27.7251474	-11.846575
7.308	-2.739671	11.2101842
7.31	0.6300658	1.85075438
7.312	0.08184787	1.39363886
7.314	0.00997831	0.84284327
7.316	0.00031543	0.68955901
7.318	-0.0005864	0.65700635
7.32	0.26028934	0.95979873
7.322	0.17036834	0.89129483
7.324	0.05305678	0.9520832
7.326	0.06750384	1.12848191
7.328	0.16513398	1.40182692
7.33	0.47607725	2.14851766
7.332	1.54402954	3.69542583
7.334	23.5986304	-8.5942631
7.336	27.7251474	-11.846575
7.338	27.7251474	-11.846575
7.34	5.49457627	5.09423913
7.342	0.56726133	4.16789427
7.344	0.5164893	4.19799069
7.346	-0.9605508	9.86458567
7.348	1.84964345	7.7685771
7.35	1.42719405	2.04322723
7.352	0.23704418	1.65130178
7.354	0.21496286	1.00575891
7.356	0.00488299	0.74670662
7.358	0.34810506	1.03123928
7.36	0.39038072	0.88698624
7.362	0.45188533	0.95125862
7.364	1.42534155	0.27982801
7.366	0.00328332	0.44225524
7.368	0.26409156	0.45568224
7.37	0.04570136	0.64767972
7.372	0.49636351	0.6089705
7.374	0.46375722	0.60479805
7.376	0.50251643	0.94528516
7.378	1.08791431	1.89968363
7.38	2.49774918	2.99011839
7.382	2.57885058	2.14883659
7.384	0.2452724	1.10877519
7.386	0.01490809	0.59270165
7.388	-0.0012294	0.43986301
7.39	1.38651756	0.12277732
7.392	0.0670009	0.44802751
7.394	0.3530494	0.39600671
7.396	0.00566397	0.37813605
7.398	0.36177346	0.62339238
7.4	0.38311968	0.53792328
7.402	0.76110609	0.51075861
7.404	0.01143206	0.57072202
7.406	0.22737556	0.89456079
7.408	0.36262804	1.22242201
7.41	2.91147505	2.75431906
7.412	2.28585198	2.011382
7.414	0.54061836	1.03054302
7.416	0.00692099	0.6189747
7.418	1.14937191	0.33950063
7.42	0.11959331	0.51419374
7.422	0.11929851	0.74471539
7.424	0.74854774	0.66434621
7.426	0.91771637	0.66783541
7.428	0.54311668	0.37343058
7.43	0.04865059	0.4343333
7.432	0.05180853	0.40206421
7.434	0.00360513	0.28679157
7.436	0.13604925	0.46695241
7.438	0.08318141	0.38702765
7.44	0.24477601	0.44037244
7.442	0.13633127	0.40762388
7.444	0.00094009	0.4695165
7.446	1.11757996	0.47428606
7.448	0.99968707	0.8987416
7.45	0.02821485	0.96712026
7.452	1.61258363	0.97413757
7.454	1.04519013	1.60738143
7.456	0.55389195	2.12203755
7.458	1.96163196	3.86179526
7.46	27.7251474	-11.846575
7.462	27.7251474	-11.846575
7.464	4.96463219	5.88369687
7.466	27.7251474	-11.846575
7.468	-2.9091902	11.335882
7.47	6.53463128	4.34429515
7.472	2.67468184	5.05531184
7.474	1.15647486	3.18049531
7.476	1.1169567	1.84623372
7.478	0.33900095	1.73624782
7.48	-0.0851054	9.23209422
7.482	3.08668724	3.13109027
7.484	0.40247184	1.35473847
7.486	0.06204614	0.83122014
7.488	0.4787095	0.81611617
7.49	0.00369979	0.39081276
7.492	0.00036748	0.32303238
7.494	0.15935336	0.42009148
7.496	0.01308177	0.35562982
7.498	0.14198384	0.49983002
7.5	0.21367903	0.40846886
7.502	0.233488	0.50773346
7.504	1.61965152	3.29443234
7.506	0.78929281	1.06869446
7.508	0.63596513	0.29083724
7.51	0.00051961	0.228204
7.512	-0.0019874	0.17722664
7.514	-0.002132	0.17327328
7.516	0.00188225	0.24907273
7.518	0.64714611	0.43693418
7.52	1.35270646	0.37385636
7.522	0.07345678	0.49133714
7.524	0.06645302	0.31646194
7.526	-0.0016116	0.18124173
7.528	0.01840305	0.32255674
7.53	0.13292572	0.798246
7.532	0.19173179	0.76326546
7.534	1.85433375	1.97681859
7.536	1.03639461	0.372962
7.538	0.00240645	0.28046734
7.54	0.08316044	0.37575831
7.542	0.10317829	0.34834195
7.544	0.01029374	0.21802459
7.546	-0.00212	0.15176813
7.548	0.07669646	0.33790204
7.55	0.00934089	0.24452758
7.552	0.07221802	0.44917531
7.554	0.00361671	0.33028193
7.556	1.16368372	0.4772411
7.558	0.37517362	0.44323251
7.56	0.00623027	0.34093188
7.562	0.07628062	0.52956595
7.564	1.30194121	0.77335176
7.566	0.05548687	0.50053019
7.568	0.0047749	0.52585865
7.57	0.85734445	0.82999696
7.572	0.27413816	1.31336981
7.574	1.54404911	1.53800474
7.576	2.93451976	3.32536845
7.578	0.13659387	2.95953424
7.58	1.57153266	3.73551355
7.582	27.7251474	-11.846575
7.584	1.63284454	2.36080437
7.586	0.15062564	1.60840204
7.588	0.01264491	1.14263264
7.59	0.28592309	1.5505445
7.592	2.03613429	1.85521723
7.594	2.98605231	2.44541999
7.596	0.31837224	1.26359697
7.598	0.09516616	1.0685598
7.6	0.00595099	0.58542841
7.602	0.06497224	0.58133843
7.604	0.11786712	0.8270185
7.606	2.0623389	1.52110817
7.608	0.10361355	0.90487396
7.61	0.13162796	1.1175195
7.612	2.18124728	1.42604704
7.614	2.30983309	2.07558259
7.616	0.08097746	1.9239593
7.618	2.36407014	1.64993446
7.62	2.18308574	1.18629386
7.622	0.15826371	1.12677949
7.624	0.12783946	0.57066805
7.626	0.99778128	0.28043101
7.628	0.00330159	0.29058799
7.63	0.29183138	0.41295667
7.632	0.00532584	0.29790459
7.634	0.25034736	0.35154581
7.636	0.0374933	0.37490192
7.638	0.29431574	0.29353467
7.64	0.01341238	0.41609076
7.642	0.52007801	0.68088156
7.644	2.16305853	4.130382
7.646	0.47278805	0.98690884
7.648	0.37813831	0.40791036
7.65	0.02423761	0.39125651
7.652	0.35871305	0.8423935
7.654	0.8191642	0.73176028
7.656	4.72115481	1.86517969
7.658	1.95655336	5.66917074
7.66	3.05566274	2.45391038
7.662	1.19597254	1.11207876
7.664	1.26155921	2.1782684
7.666	1.11529578	1.42386316
7.668	1.12513843	0.80612462
7.67	1.51218445	1.14862555
7.672	1.25026496	1.51107775
7.674	0.99822239	0.69241992
7.676	1.23429024	0.53645922
7.678	0.54769487	0.51567928
7.68	0.93736759	0.48187487
7.682	1.01727633	0.9861665
7.684	1.37461031	0.52469051
7.686	0.42848032	0.35836961
7.688	0.17146149	0.30476485
7.69	0.44600884	0.59400706
7.692	0.95657497	0.71595348
7.694	0.66892435	0.6870428
7.696	0.55312807	0.51671771
7.698	0.01008445	0.25940051
7.7	0.63531849	0.19397543
7.702	0.12420673	0.4391827
7.704	0.17991642	0.63788996
7.706	1.35620182	0.97192496
7.708	0.4889648	0.63692136
7.71	0.5950516	1.03376662
7.712	1.19653059	1.78551893
7.714	1.05295221	1.14442798
7.716	0.07287936	0.35916509
7.718	0.18584541	0.58978393
7.72	0.84853359	0.94765835
7.722	0.04103889	0.46606521
7.724	0.77359684	0.5516985
7.726	0.54281842	0.38638911
7.728	0.73408806	0.25400149
7.73	0.05738008	0.38433724
7.732	0.04671421	0.49786875
7.734	0.60563522	0.29314628
7.736	0.60537077	0.34842636
7.738	0.59154351	0.37922692
7.74	0.00375663	0.22601022
7.742	0.24615636	0.18903777
7.744	0.35305842	0.19321047
7.746	0.00714589	0.23894159
7.748	1.95527215	0.0112063
7.75	0.29422039	0.33781229
7.752	0.4269724	0.23487358
7.754	0.29847497	0.34507524
7.756	0.01378629	0.30468301
7.758	2.29309049	0.08473592
7.76	0.24197631	0.85020923
7.762	2.06499314	2.31285908
7.764	0.4952737	1.69794435
7.766	0.7105247	2.14556038
7.768	2.45700707	0.75380108
7.77	0.07435073	0.54226724
7.772	0.33059393	0.37724407
7.774	0.02057706	0.29887136
7.776	0.31243004	0.38799837
7.778	0.05472228	0.30511276
7.78	-0.0017187	0.14236384
7.782	0.00670883	0.19755076
7.784	0.00869275	0.28669322
7.786	1.11790838	0.39231355
7.788	0.10628507	0.48492465
7.79	0.05741817	0.60551204
7.792	1.03316798	0.62852046
7.794	0.6920843	0.61470649
7.796	0.50066195	0.42567933
7.798	0.25832013	0.39300585
7.8	0.0182158	0.26306365
7.802	0.7076198	0.18922146
7.804	0.41178055	0.3419463
7.806	0.09902869	0.35351497
7.808	0.44660966	0.36638198
7.81	0.02346966	0.42094615
7.812	1.24294414	0.53953596
7.814	0.60635314	0.39024757
7.816	0.01417975	0.23520367
7.818	0.43070547	0.11704782
7.82	0.11269569	0.21844697
7.822	0.01324369	0.19709088
7.824	0.53917398	0.26918417
7.826	0.01734806	0.28271495
7.828	0.66390274	0.51404523
7.83	0.57102259	0.32545263
7.832	0.74489296	0.32638796
7.834	0.544987	0.22293744
7.836	0.09434947	0.24194154
7.838	0.0095148	0.30189328
7.84	1.34014566	0.10425461
7.842	0.50954375	0.42192489
7.844	0.2474363	0.39559366
7.846	0.65449031	0.18423642
7.848	0.01137672	0.22976268
7.85	0.40772521	0.22810527
7.852	0.2405732	0.60789859
7.854	0.0044329	0.42053745
7.856	0.68734055	0.35749945
7.858	0.05614963	0.71643536
7.86	0.27614207	1.34188674
7.862	2.83828546	1.79415248
7.864	2.33443749	2.63114732
7.866	0.7149444	1.11930912
7.868	0.77721285	0.9678432
7.87	0.5871286	0.51241991
7.872	0.5213752	0.71186229
7.874	2.0895539	3.15561981
7.876	0.43920469	0.8790695
7.878	0.56201807	0.6567602
7.88	0.5897431	0.66820583
7.882	0.18262877	0.82132472
7.884	2.35104836	2.03909764
7.886	0.19161465	1.20225335
7.888	0.78056074	0.81138615
7.89	0.63080037	0.3339144
7.892	-0.0014451	0.22102302
7.894	0.50727019	0.2854205
7.896	0.66646923	0.2272546
7.898	0.81461196	0.31182905
7.9	0.4713177	0.55079745
7.902	0.98646059	0.82179188
7.904	0.51595545	0.30395426
7.906	0.44999598	0.26705149
7.908	0.04616568	0.22215873
7.91	0.02602773	0.22860099
7.912	0.49181363	0.80938321
7.914	0.01250018	0.31133889
7.916	0.73172578	0.21653589
7.918	0.40132755	0.33178782
7.92	-0.0004156	0.17935725
7.922	0.56041721	0.18165034
7.924	0.37092348	0.4564102
7.926	0.37006349	0.31329844
7.928	0.00268075	0.32383346
7.93	0.37008725	0.75847346
7.932	0.63070601	1.75264906
7.934	3.45534141	3.59975989
7.936	1.24239743	1.64998735
7.938	0.87534123	0.95587431
7.94	0.35707068	0.43240651
7.942	0.30675648	0.34449523
7.944	0.06905322	0.36936025
7.946	0.35581431	0.3099453
7.948	0.27454957	0.22252328
7.95	-0.0018953	0.09939237
7.952	0.00703673	0.15124292
7.954	0.25639197	0.22661625
7.956	-0.0016464	0.12999582
7.958	0.37849609	0.24271108
7.96	0.20817574	0.16955468
7.962	0.00083582	0.09510055
7.964	0.00028663	0.10435231
7.966	0.16290175	0.18533921
7.968	0.40108664	0.19199536
7.97	0.0139544	0.27343773
7.972	0.14305928	0.22129984
7.974	0.01141262	0.20291443
7.976	0.74063139	0.68634949
7.978	0.42562084	0.55765626
7.98	0.02012416	0.14955925
7.982	-0.0006543	0.08967895
7.984	0.12610328	0.37871238
7.986	0.14001748	0.16738978
7.988	-0.0018798	0.07440651
7.99	0.06068781	0.23939089
7.992	0.12721268	0.21059866
7.994	-0.0018067	0.0668209
7.996	0.04952557	0.15079204
7.998	-0.0020337	0.05778128
8	0.18542342	0.14875354
8.002	0.35154962	0.17249223
8.004	0.00085166	0.11321839
8.006	0.00824108	0.11816799
8.008	0.02797513	0.13034437
8.01	0.01430546	0.14922971
8.012	0.00367994	0.1138045
8.014	0.99075774	0.53372195
8.016	0.02279027	0.13294189
8.018	-0.0019734	0.05077111
8.02	0.01768284	0.11307124
8.022	0.25976446	0.15266129
8.024	0.02126493	0.12492737
8.026	0.03990103	0.13257875
8.028	0.27784434	0.09035017
8.03	0.41338841	0.09339818
8.032	0.02286969	0.22423046
8.034	0.02361183	0.36556037
8.036	0.43767626	0.50122229
8.038	2.46381432	0.84994696
8.04	0.10997166	0.47221892
8.042	0.15446382	0.23306965
8.044	0.01158134	0.21320631
8.046	0.07235882	0.24774625
8.048	0.17149102	0.12959765
8.05	-0.0018292	0.07878648
8.052	0.16437917	0.2314849
8.054	-0.001248	0.06146699
8.056	-0.0018278	0.06280025
8.058	0.27086173	0.14980924
8.06	-0.0004701	0.12377335
8.062	-0.0018352	0.05305418
8.064	0.02083072	0.14453085
8.066	-0.0008508	0.08364379
8.068	5.94E-05	0.07564944
8.07	0.14339772	0.21119915
8.072	0.13797469	0.10363388
8.074	0.02812591	0.09686695
8.076	-0.0013259	0.04373777
8.078	0.11247551	0.09408255
8.08	-0.0013761	0.05388949
8.082	0.22983686	0.19547176
8.084	0.19941218	0.23012753
8.086	-0.0007594	0.07373489
8.088	0.06376323	0.22164398
8.09	0.18639235	0.17221502
8.092	0.03805421	0.09247523
8.094	-0.0013604	0.02914081
8.096	-0.0013291	0.02741544
8.098	-0.0013044	0.02960352
8.1	-0.0013803	0.02244512
8.102	-0.0012928	0.02836838
8.104	-0.0013952	0.0240869
8.106	-0.000284	0.04522037
8.108	0.07199458	0.0976907
8.11	-0.0014124	0.02835994
8.112	-0.0007259	0.04913496
8.114	-0.0015255	0.02432548
8.116	-0.0014638	0.02676933
8.118	-0.0014631	0.02320373
8.12	-0.0014369	0.02259707
8.122	-0.0013851	0.0224866
8.124	-0.0013923	0.0201405
8.126	-0.00132	0.03410401
8.128	0.07218588	0.12034584
8.13	0.0321602	0.18112626
8.132	-0.0012491	0.04439083
8.134	0.06581999	0.24620923
8.136	-0.0001244	0.05317627
8.138	0.08515101	0.12192029
8.14	-0.0013318	0.03159652
8.142	-0.0011409	0.0347587
8.144	-0.0014144	0.02487196
8.146	-0.0013281	0.02846096
8.148	-0.0013133	0.02987074
8.15	0.00010748	0.08983035
8.152	-0.0010872	0.05487652
8.154	-0.0011945	0.04985134
8.156	0.02645191	0.1628633
8.158	0.00750835	0.15673848
8.16	0.2036012	0.54386552
8.162	1.35936613	0.30710159
8.164	0.87091416	0.30075132
8.166	0.00480586	0.17977999
8.168	-0.0008793	0.07772266
8.17	0.01193818	0.10850892
8.172	-0.0011484	0.04623006
8.174	0.00326772	0.06439263
8.176	0.0069086	0.06788826
8.178	0.01675222	0.08414536
8.18	0.02899272	0.10069137
8.182	-0.0011048	0.03730214
8.184	0.07076289	0.17463846
8.186	-0.0005702	0.04566346
8.188	-0.0007233	0.04495128
8.19	0.07021859	0.22621169
8.192	0.00640105	0.07250696
8.194	0.00187318	0.06971915
8.196	0.02339868	0.09161111
8.198	0.01045501	0.06570264
8.2	0.05051528	0.08046576
8.202	-0.0002489	0.06608968
8.204	0.00319166	0.12820439
8.206	1.09473313	0.10792265
8.208	0.30076312	0.24677518
8.21	0.00047332	0.10524939
8.212	0.00535229	0.07876049
8.214	-0.0006501	0.04236246
8.216	-0.0009126	0.02647953
8.218	-0.0009063	0.02585792
8.22	0.00137394	0.04489079
8.222	0.01578672	0.11291087
8.224	-0.0007993	0.03498283
8.226	-8.28E-05	0.05281901
8.228	0.00113688	0.05743806
8.23	0.01383543	0.10055657
8.232	0.00102929	0.05249329
8.234	-0.0010304	0.02732415
8.236	-0.00107	0.02764413
8.238	-0.0010553	0.03142157
8.24	-0.0010206	0.03982384
8.242	-0.0008778	0.05193734
8.244	0.00067999	0.11304615
8.246	0.00708014	0.19861219
8.248	0.82139683	0.36423594
8.25	1.12727599	0.53584318
8.252	0.02727253	0.29309936
8.254	0.01096454	0.23082052
8.256	0.8233073	0.44975855
8.258	0.0064829	0.15421258
8.26	0.00710567	0.10808169
8.262	-0.0008348	0.03994146
8.264	0.00064105	0.06459763
8.266	-0.0005215	0.04507858
8.268	-0.0009019	0.02555862
8.27	-0.0008033	0.03467576
8.272	0.00109876	0.04658151
8.274	0.00049972	0.0429058
8.276	-0.0008114	0.02178466
8.278	-0.0008097	0.0194663
8.28	0.00050651	0.03376275
8.282	-0.000672	0.02220888
8.284	-0.0006383	0.02244592
8.286	-0.0007589	0.0180284
8.288	-0.0004909	0.0296758
8.29	0.00114304	0.06925514
8.292	0.02084825	0.12260525
8.294	-0.000829	0.02363096
8.296	-0.000794	0.01918842
8.298	-0.0007313	0.02533285
8.3	-0.0007793	0.02079618
8.302	-0.0008726	0.01593089
8.304	-0.0008065	0.01655221
8.306	-0.0004314	0.02624844
8.308	-0.0006402	0.03048418
8.31	-0.0005899	0.02718844
8.312	-0.0007616	0.02303414
8.314	-0.0006009	0.02831322
8.316	0.00041436	0.03311181
8.318	-0.0009248	0.0185646
8.32	-0.0008554	0.02239817
8.322	4.43E-06	0.03254914
8.324	-0.0008562	0.02235757
8.326	0.00143887	0.04154214
8.328	-0.0009679	0.02073214
8.33	-0.0010276	0.01753102
8.332	-0.0006141	0.02902314
8.334	-0.0010194	0.02344734
8.336	-0.0008405	0.03266028
8.338	-0.0005448	0.04074847
8.34	-0.0006256	0.04983737
8.342	2.61E-07	0.07686191
8.344	0.03504226	0.28587473
8.346	1.19177931	0.76990533
8.348	0.04257815	0.25083006
8.35	0.00011223	0.0905531
8.352	-0.0007671	0.04563803
8.354	-0.0010264	0.03012425
8.356	1.38E-05	0.04064443
8.358	-0.0009463	0.02961738
8.36	-0.0006024	0.04636699
8.362	-5.23E-05	0.03753381
8.364	-0.0008472	0.02243019
8.366	-0.0008332	0.02364378
8.368	0.00112007	0.04060459
8.37	-0.0008533	0.02087455
8.372	-0.0009304	0.01590934
8.374	0.00076844	0.03330858
8.376	-0.0004936	0.02555226
8.378	0.01354954	0.07190637
8.38	-0.0005619	0.03156564
8.382	0.00127329	0.03945793
8.384	-0.0001492	0.04639634
8.386	-0.0008713	0.02157325
8.388	0.00156383	0.05243805
8.39	-0.0006985	0.02717953
8.392	0.00035943	0.03709213
8.394	0.00233465	0.0996584
8.396	0.00157176	0.075154
8.398	-0.0005988	0.0319574
8.4	0.002211	0.07746284
8.402	-0.0007857	0.02961276
8.404	-0.0010607	0.02202442
8.406	0.00368386	0.06200448
8.408	-0.0009663	0.02108345
8.41	-0.0007762	0.03095177
8.412	0.00519447	0.06568658
8.414	-0.0009021	0.03064875
8.416	-0.0007284	0.0383964
8.418	0.00562044	0.09318437
8.42	-6.23E-05	0.09295555
8.422	0.027319	0.2572982
8.424	1.75485465	0.32753602
8.426	3.16E-01	0.41237177
8.428	0.00292376	0.14224822
8.43	0.00612845	0.10376303
8.432	-0.0001776	0.05854979
8.434	-0.0006775	0.04928487
8.436	0.0039412	0.064569
8.438	0.00444194	0.05284115
8.44	-0.0005597	0.02729922
8.442	-0.0001291	0.03622243
8.444	0.00866392	0.07372155
8.446	-9.47E-05	0.03755476
8.448	-0.0006289	0.02902741
8.45	0.0090893	0.06466397
8.452	-0.0004171	0.02449934
8.454	-0.0007849	0.0248788
8.456	0.00933136	0.07280988
8.458	-0.0007189	0.02078765
8.46	-0.000632	0.02616126
8.462	0.00988806	0.0758819
8.464	-0.0007792	0.02563667
8.466	-0.0006092	0.03046293
8.468	0.01741965	0.16696481
8.47	0.00060494	0.05032623
8.472	-0.0006055	0.02903329
8.474	0.01082686	0.07703667
8.476	-0.0005169	0.02560274
8.478	-0.0001701	0.02427635
8.48	0.00931203	0.07601168
8.482	-0.0005096	0.02877104
8.484	0.00301355	0.06642793
8.486	0.00907646	0.07286027
8.488	-0.0001199	0.03302797
8.49	-0.0001821	0.03483433
8.492	0.00968121	0.06543611
8.494	0.00060599	0.04491008
8.496	-0.0005702	0.03026474
8.498	0.00685005	0.06575954
8.5	0.00391524	0.07720483
8.502	-0.0006322	0.03303872
8.504	0.0002122	0.04906427
8.506	0.00719384	0.09091178
8.508	-0.0007946	0.06460854
8.51	0.00131947	0.1377301
8.512	0.08709366	0.46569129
8.514	1.94002632	1.22786117
8.516	0.15582074	0.40595795
8.518	0.00731158	0.22272027
8.52	0.08233165	0.34083444
8.522	-0.0003365	0.08986048
8.524	0.00438755	0.09520986
8.526	-0.0007968	0.03476561
8.528	0.00096273	0.03455314
8.53	0.00251217	0.06828218
8.532	-0.0010174	0.02723408
8.534	0.00025908	0.02492696
8.536	0.00297774	0.07129831
8.538	-0.0011599	0.02231539
8.54	0.00015855	0.02576307
8.542	0.00048622	0.04898764
8.544	7.80E-05	0.02783524
8.546	0.00199254	0.03756984
8.548	-0.0006924	0.0342274
8.55	0.00021567	0.02828126
8.552	4.79E-03	0.04228882
8.554	-1.09E-03	0.02296969
8.556	-2.26E-04	0.02510007
8.558	1.87E-03	0.02297288
8.56	-9.09E-04	0.01797874
8.562	0.00043233	0.02540581
8.564	0.00136738	0.02430105
8.566	-0.0009445	0.02082649
8.568	7.50E-05	0.03235041
8.57	0.00117436	0.03340501
8.572	1.76E-05	0.03134964
8.574	-5.38E-06	0.0451184
8.576	0.07690298	0.16764921
8.578	0.01117973	0.13358711
8.58	0.17585938	0.20384345
8.582	0.13440664	0.30854985
8.584	0.189811	0.20417756
8.586	0.00181711	0.06385204
8.588	0.00260148	0.03628883
8.59	0.00204236	0.03882832
8.592	0.00426546	0.06065189
8.594	0.00331837	0.04198962
8.596	0.0004348	0.02450468
8.598	0.0028692	0.05265846
8.6	0.0030241	0.03236185
8.602	0.00103737	0.03262125
8.604	0.00430482	0.05642669
8.606	0.00250014	0.03140127
8.608	0.00073704	0.02977233
8.61	0.00486178	0.06009037
8.612	0.00422176	0.0275753
8.614	0.00048125	0.02376784
8.616	0.00697289	0.07326348
8.618	0.0016017	0.02912735
8.62	0.00050136	0.02566052
8.622	0.00783611	0.07264347
8.624	0.00227868	0.0243474
8.626	0.00102947	0.02475615
8.628	0.01028551	0.07784188
8.63	0.00230806	0.02822637
8.632	0.0004445	0.02081977
8.634	0.01284189	0.08101912
8.636	0.00141804	0.02300428
8.638	-0.0008782	0.01811136
8.64	0.01543327	0.07499899
8.642	0.00588115	0.03082835
8.644	-0.0006924	0.018681
8.646	0.01290857	0.07882455
8.648	0.00112095	0.03125114
8.65	0.00061368	0.02689836
8.652	0.01334863	0.08154425
8.654	0.0012454	0.02659081
8.656	-0.0010961	0.01899377
8.658	0.01152787	0.07819684
8.66	0.00475331	0.03908811
8.662	1.24E-05	0.03095798
8.664	0.01876388	0.07246035
8.666	0.00176442	0.03015845
8.668	-0.0011371	0.0207572
8.67	0.01154823	0.07213274
8.672	0.00463531	0.04998579
8.674	-0.0010497	0.0336715
8.676	0.06442149	0.15953624
8.678	0.12104046	0.18777112
8.68	0.00097697	0.04793146
8.682	0.02230783	0.09014021
8.684	0.04213187	0.23950436
8.686	0.00058618	0.04912786
8.688	0.01594877	0.07486113
8.69	-0.0007749	0.02922044
8.692	0.00038009	0.02697734
8.694	0.01495523	0.08006246
8.696	3.29E-06	0.05417184
8.698	0.00858861	0.10505583
8.7	0.31755772	0.36721624
8.702	0.00674541	0.07245462
8.704	-0.0008288	0.02906192
8.706	0.00772144	0.06193221
8.708	0.00856533	0.04892386
