#WL (Micrometers)	Transmission (%)
2.3348	0.363159
2.3343	0.404358
2.3338	0.401306
2.3333	0.361633
2.3329	0.395203
2.3324	0.427246
2.3319	0.450134
2.3314	0.512695
2.3309	0.588989
2.3304	0.595093
2.3299	0.590515
2.3294	0.593567
2.3289	0.639343
2.3284	0.65918
2.3279	0.662231
2.3274	0.70343
2.3269	0.730896
2.3264	0.761414
2.3259	0.785828
2.3254	0.849915
2.3249	0.904846
2.3244	0.915527
2.3239	0.935364
2.3234	0.976563
2.3229	1.019287
2.3224	1.078796
2.3219	1.097107
2.3214	1.148987
2.3209	1.300049
2.3204	1.373291
2.3199	1.397705
2.3194	1.431274
2.3189	1.496887
2.3184	1.570129
2.3179	1.631165
2.3174	1.803589
2.3169	1.893616
2.3164	1.940918
2.3159	2.06604
2.3154	2.156067
2.315	2.212524
2.3145	2.340698
2.314	2.54364
2.3135	2.655029
2.313	2.760315
2.3125	3.016663
2.312	3.17688
2.3115	3.283691
2.311	3.492737
2.3105	3.630066
2.31	3.837585
2.3095	4.101563
2.309	4.348755
2.3085	4.571533
2.308	4.794312
2.3075	5.065918
2.307	5.410767
2.3065	5.821228
2.306	6.140137
2.3055	6.463623
2.305	6.898499
2.3045	7.35321
2.304	7.876587
2.3035	8.34198
2.303	8.81958
2.3025	9.413147
2.302	10.025024
2.3015	10.626221
2.301	11.265564
2.3005	11.962891
2.3	12.736511
2.2995	13.523865
2.299	14.422607
2.2985	15.351868
2.298	16.259766
2.2975	17.367554
2.2971	18.476868
2.2966	19.746399
2.2961	21.116638
2.2956	22.219849
2.2951	23.597717
2.2946	25.236511
2.2941	26.753235
2.2936	28.329468
2.2931	30.166626
2.2926	31.893921
2.2921	33.847046
2.2916	35.85968
2.2911	37.435913
2.2906	39.5401
2.2901	41.671753
2.2896	44.000244
2.2891	46.141052
2.2886	48.271179
2.2881	50.701904
2.2876	52.967834
2.2871	55.610657
2.2866	58.047485
2.2861	60.095215
2.2856	62.67395
2.2851	65.103149
2.2846	67.337036
2.2841	69.758606
2.2836	71.955872
2.2831	74.067688
2.2826	76.142883
2.2821	78.082275
2.2816	79.806519
2.2811	81.375122
2.2806	82.937622
2.2801	84.310913
2.2797	85.75592
2.2792	87.135315
2.2787	88.056946
2.2782	89.044189
2.2777	90.010071
2.2772	90.948486
2.2767	91.712952
2.2762	92.391968
2.2757	93.008423
2.2752	93.144226
2.2747	93.475342
2.2742	94.099426
2.2737	94.212341
2.2732	94.702148
2.2727	95.123291
2.2722	95.111084
2.2717	95.428467
2.2712	95.625305
2.2707	95.678711
2.2702	95.822144
2.2697	95.843506
2.2692	96.113586
2.2687	96.008301
2.2682	95.797729
2.2677	95.916748
2.2672	95.936584
2.2667	95.974731
2.2662	95.899963
2.2657	95.88623
2.2652	96.009827
2.2647	96.160889
2.2642	96.29364
2.2637	96.286011
2.2632	96.231079
2.2627	96.482849
2.2622	96.229553
2.2618	95.986938
2.2613	96.359253
2.2608	96.487427
2.2603	96.21582
2.2598	96.641541
2.2593	96.273804
2.2588	95.76416
2.2583	96.786499
2.2578	96.690369
2.2573	96.379089
2.2568	96.652222
2.2563	96.426392
2.2558	96.546936
2.2553	96.810913
2.2548	96.621704
2.2543	96.400452
2.2538	96.350098
2.2533	96.264648
2.2528	96.009827
2.2523	96.102905
2.2518	96.205139
2.2513	96.124268
2.2508	96.266174
2.2503	96.258545
2.2498	96.01593
2.2493	95.967102
2.2488	95.944214
2.2483	95.726013
2.2478	95.550537
2.2473	95.202637
2.2468	94.869995
2.2463	94.741821
2.2458	94.796753
2.2453	94.902039
2.2448	94.802856
2.2443	94.670105
2.2439	94.314575
2.2434	94.096375
2.2429	93.995667
2.2424	93.615723
2.2419	93.409729
2.2414	93.237305
2.2409	92.848206
2.2404	92.71698
2.2399	92.607117
2.2394	92.190552
2.2389	91.775513
2.2384	91.720581
2.2379	91.841125
2.2374	91.619873
2.2369	91.403198
2.2364	91.149902
2.2359	90.937805
2.2354	90.777588
2.2349	90.182495
2.2344	89.730835
2.2339	89.724731
2.2334	89.471436
2.2329	89.259338
2.2324	89.332581
2.2319	89.144897
2.2314	88.928223
2.2309	88.874817
2.2304	88.674927
2.2299	88.305664
2.2294	88.127136
2.2289	87.92572
2.2284	87.483215
2.2279	87.216187
2.2274	87.065125
2.2269	86.990356
2.2265	87.07428
2.226	86.895752
2.2255	86.665344
2.225	86.824036
2.2245	86.738586
2.224	86.289978
2.2235	86.309814
2.223	86.270142
2.2225	86.090088
2.222	86.206055
2.2215	86.264038
2.221	86.141968
2.2205	86.076355
2.22	86.010742
2.2195	85.787964
2.219	85.874939
2.2185	85.873413
2.218	85.604858
2.2175	85.647583
2.217	85.684204
2.2165	85.708618
2.216	85.801697
2.2155	85.734558
2.215	85.726929
2.2145	85.873413
2.214	85.9375
2.2135	85.801697
2.213	85.865784
2.2125	85.896301
2.212	85.73761
2.2115	85.84137
2.211	86.00769
2.2105	85.931396
2.21	86.030579
2.2095	86.264038
2.209	86.33728
2.2086	86.369324
2.2081	86.383057
2.2076	86.425781
2.2071	86.470032
2.2066	86.689758
2.2061	86.772156
2.2056	86.86676
2.2051	86.959839
2.2046	86.758423
2.2041	86.705017
2.2036	86.767578
2.2031	86.677551
2.2026	86.869812
2.2021	87.226868
2.2016	87.390137
2.2011	87.568665
2.2006	87.760925
2.2001	87.757874
2.1996	87.667847
2.1991	88.00354
2.1986	88.18512
2.1981	88.249207
2.1976	88.630676
2.1971	88.768005
2.1966	88.737488
2.1961	88.876343
2.1956	89.021301
2.1951	89.071655
2.1946	89.283752
2.1941	89.477539
2.1936	89.49585
2.1931	89.772034
2.1926	89.929199
2.1921	89.920044
2.1916	90.106201
2.1911	90.209961
2.1907	90.159607
2.1902	90.283203
2.1897	90.42511
2.1892	90.47699
2.1887	90.715027
2.1882	90.861511
2.1877	90.994263
2.1872	91.363525
2.1867	91.625977
2.1862	91.670227
2.1857	91.595459
2.1852	91.679382
2.1847	91.757202
2.1842	91.882324
2.1837	92.144775
2.1832	91.941833
2.1827	92.088318
2.1822	92.59491
2.1817	92.498779
2.1812	92.654419
2.1807	92.735291
2.1802	92.697144
2.1797	93.017578
2.1792	92.803955
2.1787	92.706299
2.1782	92.619324
2.1777	92.573547
2.1772	93.229675
2.1767	92.860413
2.1762	92.49115
2.1757	92.750549
2.1752	92.617798
2.1747	93.310547
2.1742	93.67981
2.1737	93.092346
2.1733	93.304443
2.1728	93.540955
2.1723	93.12439
2.1718	93.067932
2.1713	93.325806
2.1708	93.351746
2.1703	93.493652
2.1698	93.505859
2.1693	93.643188
2.1688	93.736267
2.1683	93.684387
2.1678	93.637085
2.1673	93.385315
2.1668	93.528748
2.1663	93.453979
2.1658	93.336487
2.1653	93.406677
2.1648	93.190002
2.1643	93.273926
2.1638	93.478394
2.1633	93.254089
2.1628	93.482971
2.1623	93.566895
2.1618	93.218994
2.1613	93.080139
2.1608	92.987061
2.1603	92.800903
2.1598	92.845154
2.1593	92.979431
2.1588	92.851257
2.1583	92.759705
2.1578	92.706299
2.1573	92.605591
2.1568	92.555237
2.1563	92.567444
2.1558	92.36908
2.1554	92.182922
2.1549	92.329407
2.1544	92.401123
2.1539	91.905212
2.1534	91.796875
2.1529	91.986084
2.1524	92.010498
2.1519	92.182922
2.1514	92.300415
2.1509	92.373657
2.1504	92.167664
2.1499	91.879272
2.1494	91.734314
2.1489	91.848755
2.1484	91.645813
2.1479	91.540527
2.1474	91.798401
2.1469	91.85791
2.1464	91.847229
2.1459	91.80603
2.1454	91.61377
2.1449	91.436768
2.1444	91.378784
2.1439	91.159058
2.1434	90.895081
2.1429	90.934753
2.1424	91.291809
2.1419	91.394043
2.1414	91.38031
2.1409	91.22467
2.1404	91.067505
2.1399	91.142273
2.1394	91.030884
2.1389	90.70282
2.1384	90.782166
2.1379	90.795898
2.1375	90.583801
2.137	90.901184
2.1365	90.7547
2.136	90.345764
2.1355	90.577698
2.135	90.612793
2.1345	90.353394
2.134	90.539551
2.1335	90.689087
2.133	90.644836
2.1325	90.992737
2.132	91.03241
2.1315	90.808105
2.131	90.872192
2.1305	90.823364
2.13	90.678406
2.1295	90.586853
2.129	90.644836
2.1285	90.655518
2.128	90.763855
2.1275	90.872192
2.127	90.734863
2.1265	90.922546
2.126	91.108704
2.1255	90.917969
2.125	90.794373
2.1245	90.82489
2.124	90.77301
2.1235	90.835571
2.123	90.9729
2.1225	90.942383
2.122	91.017151
2.1215	91.157532
2.121	91.139221
2.1205	91.015625
2.1201	91.056824
2.1196	91.099548
2.1191	91.079712
2.1186	91.317749
2.1181	91.436768
2.1176	91.426086
2.1171	91.482544
2.1166	91.555786
2.1161	91.659546
2.1156	91.769409
2.1151	91.851807
2.1146	91.842651
2.1141	91.83197
2.1136	91.78009
2.1131	91.705322
2.1126	91.851807
2.1121	91.995239
2.1116	91.993713
2.1111	92.23938
2.1106	92.269897
2.1101	92.259216
2.1096	92.610168
2.1091	92.710876
2.1086	92.807007
2.1081	93.173218
2.1076	93.080139
2.1071	92.875671
2.1066	92.987061
2.1061	92.970276
2.1056	93.013
2.1051	93.321228
2.1046	93.556213
2.1041	93.411255
2.1036	93.638611
2.1031	93.817139
2.1026	93.583679
2.1022	93.87207
2.1017	93.986511
2.1012	93.876648
2.1007	93.922424
2.1002	94.100952
2.0997	94.20929
2.0992	94.102478
2.0987	94.163513
2.0982	94.151306
2.0977	94.136047
2.0972	94.281006
2.0967	94.276428
2.0962	94.25354
2.0957	94.369507
2.0952	94.351196
2.0947	94.458008
2.0942	94.529724
2.0937	94.491577
2.0932	94.721985
2.0927	95.002747
2.0922	95.042419
2.0917	94.779968
2.0912	94.648743
2.0907	94.563293
2.0902	94.465637
2.0897	94.750977
2.0892	94.798279
2.0887	94.696045
