file,x,y,dx,dy,bg
jw05094012001_02101_00001_mirimage/jw05094012001_02101_00001_mirimage_cal.fits,65,51,4,-3,129.9
jw05094012001_02101_00002_mirimage/jw05094012001_02101_00002_mirimage_cal.fits,77,50,8,0,129.9
jw05094012001_02101_00003_mirimage/jw05094012001_02101_00003_mirimage_cal.fits,74,44,4,3,129.9
jw05094012001_02101_00004_mirimage/jw05094012001_02101_00004_mirimage_cal.fits,68,40,1,-3,129.9
jw05094012001_02101_00005_mirimage/jw05094012001_02101_00005_mirimage_cal.fits,72,44,4,-3,129.9
jw05094012001_02101_00006_mirimage/jw05094012001_02101_00006_mirimage_cal.fits,59,40,2,2,129.9
jw05094012001_02101_00007_mirimage/jw05094012001_02101_00007_mirimage_cal.fits,56,45,5,2,129.9
jw05094012001_02101_00008_mirimage/jw05094012001_02101_00008_mirimage_cal.fits,65,42,1,-2,129.9
