     1	16.306	0.000
     2	16.358	0.001
     3	16.410	0.002
     4	16.462	0.002
     5	16.514	0.002
     6	16.567	0.003
     7	16.620	0.003
     8	16.674	0.003
     9	16.727	0.005
    10	16.781	0.007
    11	16.836	0.009
    12	16.891	0.014
    13	16.946	0.022
    14	17.002	0.032
    15	17.057	0.046
    16	17.114	0.070
    17	17.170	0.111
    18	17.227	0.178
    19	17.285	0.270
    20	17.343	0.377
    21	17.401	0.479
    22	17.459	0.550
    23	17.518	0.593
    24	17.578	0.613
    25	17.638	0.620
    26	17.698	0.625
    27	17.758	0.634
    28	17.819	0.639
    29	17.881	0.644
    30	17.943	0.650
    31	18.005	0.660
    32	18.068	0.669
    33	18.131	0.673
    34	18.195	0.670
    35	18.259	0.665
    36	18.323	0.662
    37	18.388	0.664
    38	18.454	0.664
    39	18.520	0.662
    40	18.586	0.653
    41	18.653	0.643
    42	18.720	0.634
    43	18.788	0.632
    44	18.856	0.632
    45	18.925	0.636
    46	18.994	0.640
    47	19.064	0.639
    48	19.135	0.636
    49	19.205	0.642
    50	19.277	0.646
    51	19.349	0.641
    52	19.421	0.625
    53	19.494	0.613
    54	19.568	0.610
    55	19.642	0.620
    56	19.717	0.641
    57	19.792	0.666
    58	19.868	0.684
    59	19.944	0.689
    60	20.021	0.679
    61	20.099	0.678
    62	20.177	0.683
    63	20.256	0.694
    64	20.335	0.699
    65	20.415	0.694
    66	20.496	0.680
    67	20.577	0.671
    68	20.659	0.663
    69	20.742	0.658
    70	20.825	0.656
    71	20.909	0.657
    72	20.994	0.650
    73	21.079	0.644
    74	21.165	0.637
    75	21.252	0.621
    76	21.339	0.609
    77	21.428	0.596
    78	21.516	0.567
    79	21.606	0.528
    80	21.697	0.490
    81	21.788	0.476
    82	21.880	0.467
    83	21.972	0.455
    84	22.066	0.446
    85	22.160	0.420
    86	22.255	0.361
    87	22.351	0.267
    88	22.448	0.158
    89	22.546	0.078
    90	22.644	0.031
    91	22.743	0.013
    92	22.843	0.007
    93	22.945	0.004
    94	23.047	0.002
    95	23.149	0.001
    96	23.253	0.000
    97	23.358	0.000
