#;*** IRS Red-Peakup Filter
#;*** RQExTransmission at 2.0 volts USED IN NOMINAL OPERATIONS
#;*** 
#;*** The first column is wavelength in microns.  They second 
#;*** is "RQExT", which is the product of the detector's 
#;*** responsive quantum efficiency (QE times photoconductive 
#;*** gain) and the filter transmission.  That is, if you 
#;*** multiply incident photons/second at some wavelength by 
#;*** RQExT at that wavelength, then you get electrons/second 
#;*** contributed by the incident light at that wavelength. 
#;*** These data represent the same curve that is provided in 
#;*** the SMART software package, and represent a revised 
#;*** (improved) version of the peak-up filter transmission
#;*** curve shown in Figure 7.39 of the Spitzer Observer's 
#;*** Manual (v5.0).
#;***
29.8010	   1.01E-01
29.9733	   8.56E-02
30.1475	   6.99E-02
30.3239	   5.64E-02
30.5022	   4.40E-02
30.6828	   2.93E-02
30.8653	   1.78E-02
31.0502	   1.14E-02
31.2372	   7.69E-03
31.4266	   5.53E-03
31.6182	   4.50E-03
31.8122	   3.56E-03
32.0085	   2.52E-03
32.2074	   1.73E-03
32.4086	   1.36E-03
32.6125	   1.34E-03
32.8188	   1.34E-03
33.0279	   1.21E-03
33.2396	   8.47E-04
33.4541	   6.82E-04
33.6713	   5.51E-04
33.8914	   3.99E-04
34.1143	   2.30E-04
34.3403	   1.34E-04
34.5692	   2.73E-05
34.8013	   -4.44E-05
35.0363	   -7.74E-05
