#WL (Micrometers)	Transmission (%)
2.337	94.636444
2.3365	94.731148
2.336	94.317024
2.3355	94.249306
2.335	94.560608
2.3345	94.428093
2.334	94.127777
2.3335	94.258446
2.333	94.204117
2.3325	93.968468
2.332	94.155617
2.3315	94.126907
2.331	93.884369
2.3305	94.010666
2.33	94.085037
2.3295	93.817421
2.329	93.66967
2.3285	93.546768
2.328	93.542648
2.3275	93.927094
2.327	93.84996
2.3265	93.744858
2.326	93.911919
2.3255	93.929878
2.325	93.81778
2.3245	93.651955
2.324	93.818878
2.3235	93.886864
2.323	93.869659
2.3225	94.135155
2.322	94.143364
2.3215	93.989983
2.321	93.92038
2.3205	94.017509
2.32	94.019249
2.3195	93.995239
2.319	94.271278
2.3185	94.38575
2.318	94.291252
2.3175	94.417152
2.317	94.681305
2.3165	94.378357
2.316	94.120247
2.3155	94.41552
2.315	94.662453
2.3145	94.665512
2.314	94.562706
2.3135	94.461647
2.313	94.737404
2.3125	95.067635
2.312	94.771423
2.3115	94.60173
2.311	94.845688
2.3105	94.72123
2.31	94.696404
2.3095	94.869415
2.309	94.962418
2.3085	95.164185
2.308	95.210678
2.3075	95.332184
2.307	95.346008
2.3065	95.213074
2.306	95.344002
2.3055	95.163742
2.305	95.102051
2.3045	95.420685
2.304	95.340424
2.3035	95.290909
2.303	95.643013
2.3025	95.478218
2.302	95.311691
2.3015	95.803864
2.301	95.868629
2.3005	95.604393
2.3	95.804131
2.2995	96.112488
2.299	95.824951
2.2985	95.85183
2.298	96.07238
2.2975	96.011841
2.297	96.239235
2.2965	96.135826
2.296	96.029594
2.2955	96.096489
2.295	95.948372
2.2945	96.309341
2.294	96.422203
2.2935	96.120384
2.293	96.118263
2.2925	96.159355
2.292	96.064911
2.2915	96.139099
2.291	96.155602
2.2905	95.870926
2.29	95.874893
2.2895	95.856697
2.289	95.64476
2.2885	95.720505
2.288	96.013832
2.2875	95.840813
2.287	95.984329
2.2865	96.199066
2.286	95.921104
2.2855	95.763451
2.285	95.608284
2.2845	95.620117
2.284	95.859871
2.2835	95.68837
2.283	95.4114
2.2825	95.619057
2.282	95.650452
2.2815	95.451355
2.281	95.530258
2.2805	95.519455
2.28	95.104111
2.2795	95.513657
2.279	95.859413
2.2785	95.139626
2.278	95.069023
2.2775	95.273659
2.277	95.205063
2.2765	95.236641
2.276	95.523384
2.2755	95.406136
2.275	95.012421
2.2745	95.303314
2.274	95.443336
2.2735	95.356728
2.273	94.905884
2.2725	94.652847
2.272	94.644485
2.2715	94.40519
2.271	95.118835
2.2705	95.390823
2.27	94.963921
2.2695	95.130661
2.269	94.796982
2.2685	94.610703
2.268	95.093163
2.2675	94.997337
2.267	94.356857
2.2665	94.374702
2.266	94.673363
2.2655	94.446983
2.265	94.452393
2.2645	94.616364
2.264	94.518028
2.2635	94.65802
2.263	94.561447
2.2625	94.269592
2.262	94.258667
2.2615	94.471504
2.261	94.441399
2.2605	94.283195
2.26	94.392052
2.2595	94.264801
2.259	94.231468
2.2585	94.522942
2.258	94.655968
2.2575	94.183281
2.257	94.199661
2.2565	94.560486
2.256	94.686691
2.2555	94.826637
2.255	94.527565
2.2545	94.354713
2.254	94.380844
2.2535	94.75547
2.253	94.929298
2.2525	94.715981
2.252	94.681778
2.2515	94.707611
2.251	94.814178
2.2505	94.829689
2.25	94.957138
2.2495	94.90406
2.249	94.862343
2.2485	95.083282
2.248	94.901344
2.2475	94.829315
2.247	95.111519
2.2465	95.242165
2.246	95.171402
2.2455	95.136353
2.245	95.091423
2.2445	95.083588
2.244	95.052895
2.2435	94.862007
2.243	94.880302
2.2425	94.914299
2.242	95.025162
2.2415	94.852356
2.241	94.989502
2.2405	95.409706
2.24	95.094643
2.2395	94.72731
2.239	95.075821
2.2385	95.157974
2.238	94.754318
2.2375	94.981453
2.237	95.115211
2.2365	94.949944
2.236	95.058846
2.2355	94.801125
2.235	94.508148
2.2345	94.704948
2.234	94.687431
2.2335	94.544182
2.233	94.532494
2.2325	94.764481
2.232	94.776497
2.2315	94.578423
2.231	94.482361
2.2305	94.417648
2.23	94.543381
2.2295	94.514687
2.229	94.464142
2.2285	94.278717
2.228	94.171051
2.2275	94.200134
2.227	93.843575
2.2265	93.87587
2.226	94.108513
2.2255	93.8237
2.225	93.933395
2.2245	93.953461
2.224	93.559235
2.2235	93.765625
2.223	93.900856
2.2225	93.753914
2.222	93.631271
2.2215	93.66713
2.221	93.656212
2.2205	93.351074
2.22	93.206848
2.2195	93.395493
2.219	93.21405
2.2185	92.998634
2.218	93.226013
2.2175	93.06501
2.217	92.836502
2.2165	92.820328
2.216	92.753098
2.2155	92.618164
2.215	92.576408
2.2145	92.446533
2.214	92.146896
2.2135	92.24826
2.213	92.499092
2.2125	92.318817
2.212	92.06987
2.2115	92.304054
2.211	92.440346
2.2105	92.265503
2.21	92.446884
2.2095	92.190834
2.209	92.06855
2.2085	92.479523
2.208	92.248711
2.2075	92.143127
2.207	92.342857
2.2065	92.330307
2.206	92.100105
2.2055	92.171936
2.205	92.277092
2.2045	92.053543
2.204	92.113541
2.2035	92.230247
2.203	92.271652
2.2025	92.563805
2.202	92.553711
2.2015	92.561462
2.201	92.674469
2.2005	92.460632
2.2	92.477615
2.1995	92.816986
2.199	92.753891
2.1985	92.603806
2.198	92.776711
2.1975	92.667267
2.197	92.71331
2.1965	92.663483
2.196	92.817528
2.1955	93.025169
2.195	92.908394
2.1945	92.865196
2.194	92.869125
2.1935	92.783554
2.193	92.485123
2.1925	92.86039
2.192	93.168365
2.1915	92.681412
2.191	92.774979
2.1905	92.853569
2.19	92.606911
2.1895	93.122253
2.189	93.140701
2.1885	92.600433
2.188	92.49321
2.1875	92.655876
2.187	93.037422
2.1865	92.917923
2.186	92.987854
2.1855	93.055511
2.185	92.714432
2.1845	92.400864
2.184	92.143173
2.1835	92.069099
2.183	92.283401
2.1825	93.126938
2.182	92.35762
2.1815	91.78524
2.181	92.858124
2.1805	92.479637
2.18	92.007622
2.1795	92.452484
2.179	92.308388
2.1785	91.838631
2.178	92.009613
2.1775	92.114532
2.177	91.968552
2.1765	92.048119
2.176	91.813789
2.1755	91.71125
2.175	92.022301
2.1745	91.67836
2.174	91.086853
2.1735	91.414139
2.173	91.45343
2.1725	91.311279
2.172	91.353767
2.1715	91.116653
2.171	91.110504
2.1705	91.209007
2.17	91.076187
2.1695	90.801956
2.169	90.747231
2.1685	90.714035
2.168	90.74012
2.1675	90.839577
2.167	90.683952
2.1665	90.469025
2.166	90.077324
2.1655	90.018532
2.165	90.022377
2.1645	89.645851
2.164	89.897949
2.1635	89.917603
2.163	89.642929
2.1625	89.490211
2.162	89.537285
2.1615	89.62838
2.161	89.563042
2.1605	89.626648
2.16	89.416664
2.1595	89.445534
2.159	89.719894
2.1585	89.703339
2.158	89.515358
2.1575	89.351646
2.157	89.104706
2.1565	88.92495
2.156	89.012512
2.1555	89.12056
2.155	88.99498
2.1545	88.979362
2.154	89.059105
2.1535	88.985916
2.153	88.776627
2.1525	88.533195
2.152	88.635742
2.1515	88.548782
2.151	88.549629
2.1505	88.924614
2.15	89.000183
2.1495	88.610001
2.149	88.698868
2.1485	88.960251
2.148	88.846954
2.1475	88.789246
2.147	88.541763
2.1465	88.580681
2.146	88.866356
2.1455	89.191704
2.145	89.249916
2.1445	89.202408
2.144	89.267662
2.1435	89.00927
2.143	88.925903
2.1425	88.969658
2.142	88.759216
2.1415	89.122009
2.141	89.374962
2.1405	89.153824
2.14	89.272919
2.1395	89.352089
2.139	89.358391
2.1385	89.470871
2.138	89.684906
2.1375	89.799934
2.137	89.802536
2.1365	89.911613
2.136	90.113632
2.1355	90.290894
2.135	90.601723
2.1345	90.521027
2.134	90.554047
2.1335	90.65007
2.133	90.574699
2.1325	90.558189
2.132	90.574699
2.1315	91.164551
2.131	91.021179
2.1305	90.939842
2.13	91.357269
2.1295	91.266716
2.129	91.297989
2.1285	91.336365
2.128	91.347725
2.1275	91.471466
2.127	91.483963
2.1265	91.608986
2.126	91.663246
2.1255	91.603386
2.125	92.010574
2.1245	92.393204
2.124	92.30114
2.1235	92.341301
2.123	92.230293
2.1225	92.366455
2.122	93.014297
