#MaunaKea 2.5mm N  13800ft		
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wavelength	b(sqrt crv gr)	c (lin crv gr)
7.518	0.66332772	0.28244802
7.52	1.15416827	0.25368751
7.522	0.05295647	0.43409407
7.524	0.05508069	0.27453002
7.526	0.00050781	0.16488912
7.528	0.0295577	0.27729091
7.53	0.10725527	0.61076842
7.532	0.35189228	0.63438724
7.534	2.91985045	0.06546963
7.536	1.13732351	0.1609177
7.538	0.02677103	0.28079424
7.54	0.06112879	0.32060749
7.542	0.06083674	0.29517906
7.544	0.00625741	0.1784896
7.546	-0.0006243	0.13140537
7.548	0.0440107	0.25634086
7.55	0.02005656	0.22718684
7.552	0.04958816	0.36834943
7.554	0.03178832	0.30535727
7.556	0.95205176	0.32956182
7.558	0.45626752	0.30435558
7.56	0.01018039	0.31330939
7.562	0.26724473	0.36400362
7.564	1.18083294	0.42041341
7.566	0.0822209	0.44501664
7.568	0.02798804	0.45157111
7.57	0.7629168	0.56944446
7.572	0.42323052	1.05793884
7.574	1.55186607	0.9248098
7.576	2.85995648	1.64052659
7.578	0.32571617	2.42273533
7.58	1.93917118	2.23130105
7.582	5.59268937	3.45561424
7.584	1.71183054	1.48026408
7.586	0.23690189	1.25325395
7.588	0.08877876	0.96850676
7.59	0.34619364	1.21376762
7.592	2.0970681	0.99315984
7.594	3.08605326	0.78842231
7.596	0.39495936	1.03749234
7.598	0.09145009	0.86541201
7.6	0.03062301	0.52612047
7.602	0.04386601	0.50781313
7.604	0.25040433	0.59432036
7.606	1.75170334	0.56695803
7.608	0.24823663	0.72852808
7.61	0.20865879	0.90703697
7.612	2.21012493	0.58688247
7.614	2.24288099	1.19716554
7.616	0.23239522	1.59510957
7.618	2.27902674	0.92479828
7.62	2.13316648	0.57817754
7.622	0.31330019	0.8172674
7.624	0.31780957	0.46016907
7.626	0.8255318	0.28054208
7.628	0.02158114	0.26925748
7.63	0.23601493	0.32657016
7.632	0.05561556	0.25197865
7.634	0.19632674	0.3221353
7.636	0.07942088	0.30940621
7.638	0.20562986	0.27674027
7.64	0.10983028	0.36398185
7.642	0.60929189	0.45267633
