#MtLemmon 5.7mm N  9100ft STD			
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wave  b (sqrt crv gr)  c (lin crv gr)
7.428	0.603833	0.65890186
7.432	0.49569645	0.66656587
7.436	0.5264281	0.6447434
7.44	0.66754006	0.60046509
7.444	0.92756408	0.51849603
7.448	1.38757526	0.37936635
7.452	1.99863572	0.21942438
7.456	2.82709877	-0.0119697
7.46	3.80196377	-0.2243122
7.464	4.57717335	0.05587135
7.468	4.84909678	0.27277148
7.472	4.73428991	-0.4921153
7.476	3.58690981	-0.4439381
7.48	2.57381464	-0.1396506
7.484	1.77606768	0.15505183
7.488	1.26070721	0.33796182
7.492	0.91574517	0.44746468
7.496	0.75037425	0.45147207
7.5	0.68196849	0.41581831
7.504	0.71498348	0.34305653
7.508	0.68275324	0.29903506
7.512	0.62461494	0.28036797
7.516	0.62461624	0.28355524
7.52	0.65884502	0.28986751
7.524	0.61184192	0.32963941
7.528	0.62333027	0.34036449
7.532	0.6534917	0.34225299
7.536	0.58324429	0.35332794
7.54	0.4788507	0.37722249
7.544	0.4287443	0.38908619
7.548	0.41634203	0.41096689
7.552	0.42889905	0.44580332
7.556	0.55268096	0.44946637
7.56	0.73078042	0.4443633
7.564	0.99976758	0.42994851
7.568	1.35000912	0.37851382
7.572	1.88801981	0.23660214
7.576	2.48359462	0.07707576
7.58	2.96592705	0.12234468
7.584	2.80529354	0.45783822
7.588	2.36555011	0.73186692
7.592	2.02525482	0.75827133
7.596	1.66461766	0.85775024
7.6	1.45060258	0.89975202
7.604	1.48735556	0.8851332
7.608	1.5991579	0.83783039
7.612	1.85533858	0.5117699
7.616	1.92228466	0.2218682
7.62	1.67216041	0.16264793
7.624	1.22411268	0.27972618
7.628	0.91888403	0.36437375
7.632	0.72496736	0.43831811
7.636	0.65091721	0.48511413
7.64	0.74463788	0.47250257
7.644	1.00283213	0.39931463
7.648	1.24465	0.36102795
7.652	1.57245676	0.30793334
7.656	2.01226894	0.2323144
7.66	2.26518163	0.25900342
7.664	2.24595781	0.37129371
7.668	2.11402807	0.50862265
7.672	1.98788183	0.38007607
7.676	1.65800558	0.39818997
7.68	1.40488994	0.39469428
7.684	1.19235189	0.37533736
7.688	0.99616521	0.38793606
7.692	0.90485646	0.40611114
7.696	0.89903923	0.38275872
7.7	0.91373693	0.36693424
7.704	0.98098219	0.37034924
7.708	1.07399526	0.37234388
7.712	1.09193061	0.37307184
7.716	0.98158503	0.41862277
7.72	0.87903736	0.46245117
7.724	0.7660844	0.45527176
7.728	0.64142544	0.4424755
7.732	0.56558957	0.42846843
7.736	0.5563199	0.39392868
7.74	0.5397621	0.359259
7.744	0.59369527	0.32620984
7.748	0.75131035	0.27065872
7.752	0.93979819	0.21338471
7.756	1.13343608	0.16801874
7.76	1.33094373	0.14768947
7.764	1.38302006	0.10225961
7.768	1.21370179	0.11766902
7.772	0.95512834	0.18837809
7.776	0.75680939	0.24448419
7.78	0.60256768	0.29476218
7.784	0.5314169	0.3488978
7.788	0.53722671	0.38497724
7.792	0.5703428	0.40828056
