# Neckel and Labs 1984
# Computed from Table III
# Phi / Sigma * Sigma * 6.8e-5 * 5e2
# lambda                 solar flux density
# micron                 W/cm2/um
5.128300000000000081e-01 1.900292571999999958e-01
5.148300000000000098e-01 1.858374515999999810e-01
5.168300000000000116e-01 1.687778427999999942e-01
5.188300000000000134e-01 1.743242423999999680e-01
5.199500000000000233e-01 1.828211007999999971e-01
5.219300000000000050e-01 1.890527976000000165e-01
5.238800000000000123e-01 1.921851359999999787e-01
5.258000000000000451e-01 1.842740704000000174e-01
5.278000000000000469e-01 1.830114089999999860e-01
5.298000000000000487e-01 1.959343329999999883e-01
5.316500000000000670e-01 1.948483900000000102e-01
5.335199999999999942e-01 1.859046253999999954e-01
5.353900000000000325e-01 1.950927140000000004e-01
5.372000000000000108e-01 1.860826697999999890e-01
5.391500000000000181e-01 1.850561179999999917e-01
5.410000000000000364e-01 1.819091358000000380e-01
5.430000000000000382e-01 1.875442652000000321e-01
5.450000000000000400e-01 1.910843928000000302e-01
5.470000000000000417e-01 1.866590207999999917e-01
5.490000000000000435e-01 1.883098635999999881e-01
5.508000000000000673e-01 1.873558303999999786e-01
5.527300000000000546e-01 1.868549900000000263e-01
5.547000000000000819e-01 1.895534680000000027e-01
5.566900000000000182e-01 1.826451202000000107e-01
5.586900000000000199e-01 1.815374308000000103e-01
5.606900000000000217e-01 1.824424564000000082e-01
5.626900000000000235e-01 1.868064651999999937e-01
5.645999999999999908e-01 1.843632728000000054e-01
5.665999999999999925e-01 1.843721399999999899e-01
5.685999999999999943e-01 1.852760504000000030e-01
5.705999999999999961e-01 1.799196529999999850e-01
5.725999999999999979e-01 1.893946607999999754e-01
5.745999999999999996e-01 1.856880012000000080e-01
5.766000000000000014e-01 1.856700287999999976e-01
5.784500000000000197e-01 1.821869191999999915e-01
5.804500000000000215e-01 1.852172712000000054e-01
5.824500000000000233e-01 1.865762443999999798e-01
5.844500000000000250e-01 1.861253636000000378e-01
5.864500000000000268e-01 1.810400618000000128e-01
5.884000000000000341e-01 1.764915350000000049e-01
5.903700000000000614e-01 1.760815119999999956e-01
5.923500000000000432e-01 1.797359849999999870e-01
5.943500000000000449e-01 1.793939280000000358e-01
5.963500000000000467e-01 1.818383784000000003e-01
5.983000000000000540e-01 1.763425639999999517e-01
6.003000000000000558e-01 1.751685065999999957e-01
6.023000000000000576e-01 1.728507979999999999e-01
6.043000000000000593e-01 1.772303039999999774e-01
6.063000000000000611e-01 1.750994390000000234e-01
6.079999999999999849e-01 1.742287295999999930e-01
6.099999999999999867e-01 1.725771999999999862e-01
6.119999999999999885e-01 1.743987499999999913e-01
6.139999999999999902e-01 1.708932887999999872e-01
6.159999999999999920e-01 1.676985263999999920e-01
6.179999999999999938e-01 1.732858110000000118e-01
6.199999999999999956e-01 1.730575927999999930e-01
6.219700000000000228e-01 1.703931012000000356e-01
6.239000000000000101e-01 1.665574659999999874e-01
6.259000000000000119e-01 1.670821199999999729e-01
6.279000000000000137e-01 1.700857819999999909e-01
6.299000000000000155e-01 1.655982137999999770e-01
6.319000000000000172e-01 1.653905553999999722e-01
6.339000000000000190e-01 1.653873560000000131e-01
6.359000000000000208e-01 1.661050688000000053e-01
6.379000000000000226e-01 1.662609791999999920e-01
6.399000000000000243e-01 1.629753483999999975e-01
6.419000000000000261e-01 1.616441599999999812e-01
6.439000000000000279e-01 1.629301725999999784e-01
6.459000000000000297e-01 1.612050330000000253e-01
6.479000000000000314e-01 1.609884598000000111e-01
6.499000000000000332e-01 1.563947911999999940e-01
6.519000000000000350e-01 1.599599053999999909e-01
6.539000000000000368e-01 1.597836799999999835e-01
6.559000000000000385e-01 1.370754335999999907e-01
6.621000000000000218e-01 1.580944375999999985e-01
6.663000000000000034e-01 1.556958599999999915e-01
6.790000000000000480e-01 1.475848879999999974e-01
7.090000000000000746e-01 1.392835839999999881e-01
7.465000000000000524e-01 1.291533316000000042e-01
7.551999999999999824e-01 1.255690890000000226e-01
7.815000000000000835e-01 1.191313420000000151e-01
7.875000000000000888e-01 1.171011816000000066e-01
7.980000000000000426e-01 1.151753570000000060e-01
8.465000000000000302e-01 1.027607839999999939e-01
8.570000000000000950e-01 1.007916400000000018e-01
8.633000000000000673e-01 1.010737312000000027e-01
8.880000000000000115e-01 9.525440000000000296e-02
9.042000000000000037e-01 8.918563800000001152e-02
9.815000000000000391e-01 7.660812000000000177e-02
9.904000000000000581e-01 7.656129180000000034e-02
1.001000000000000112e+00 7.473511440000001060e-02
1.010000000000000009e+00 7.365835480000001989e-02
1.017900000000000027e+00 7.220154319999999570e-02
1.027000000000000135e+00 7.105224799999999841e-02
1.044000000000000039e+00 6.845297179999999815e-02
1.051000000000000156e+00 6.641432840000000004e-02
1.064000000000000057e+00 6.443207399999999196e-02
1.076799999999999979e+00 6.314172299999999682e-02
1.186000000000000165e+00 5.099195559999999267e-02
1.233000000000000096e+00 4.845544000000000934e-02
1.247000000000000108e+00 4.658009180000000082e-02
