# Neckel and Labs 1984
# Computed from Table III
# Phi / Sigma * Sigma * 6.8e-5 * 5e2
# lambda                 solar flux density
# micron                 W/cm2/um
3.298150000000000248e-01 1.077594027999999871e-01
3.317650000000000321e-01 9.911297159999998829e-02
3.337950000000000084e-01 9.560484479999999119e-02
3.358550000000000146e-01 9.157182599999999506e-02
3.378650000000000264e-01 8.958936419999999345e-02
3.398250000000000437e-01 1.008036997999999934e-01
3.418650000000000300e-01 9.593809920000001545e-02
3.437950000000000172e-01 8.843696480000001747e-02
3.458249999999999935e-01 9.453281460000000080e-02
3.478550000000000253e-01 9.520674219999999965e-02
3.498150000000000426e-01 9.848401920000002252e-02
3.518550000000000288e-01 9.724108800000000330e-02
3.538950000000000151e-01 1.150024330000000011e-01
3.559050000000000269e-01 1.073041631999999967e-01
3.579350000000000032e-01 7.704549939999999486e-02
3.599550000000000249e-01 1.088940677999999940e-01
3.620150000000000312e-01 1.072704419999999936e-01
3.640550000000000175e-01 1.022895984000000147e-01
3.661050000000000137e-01 1.290400912000000122e-01
3.677750000000000186e-01 1.184939711999999923e-01
3.698250000000000148e-01 1.226422669999999715e-01
3.718650000000000011e-01 1.172612400000000027e-01
3.736650000000000249e-01 9.765717659999997857e-02
3.754750000000000032e-01 1.029144401999999986e-01
3.775249999999999995e-01 1.349556288000000326e-01
3.794350000000000223e-01 1.169005816000000114e-01
3.813949999999999840e-01 1.142433864000000077e-01
3.833550000000000568e-01 7.386183120000000546e-02
3.853750000000000231e-01 1.054876044000000040e-01
3.873750000000000249e-01 1.019904528000000060e-01
3.894150000000000111e-01 1.173319532000000193e-01
3.911950000000000149e-01 1.294904619999999729e-01
3.932450000000000112e-01 7.517884499999999415e-02
3.950250000000000150e-01 1.281381119999999985e-01
3.969250000000000278e-01 8.741643780000001029e-02
3.989250000000000296e-01 1.614427270000000081e-01
4.001050000000000439e-01 1.715846651999999861e-01
4.020000000000000240e-01 1.798729267999999992e-01
4.040000000000000258e-01 1.638352560000000124e-01
4.060000000000000275e-01 1.663414979999999765e-01
4.078800000000000203e-01 1.698058464000000156e-01
4.098800000000000221e-01 1.621121903999999669e-01
4.117100000000000759e-01 1.812242431999999959e-01
4.137100000000000777e-01 1.740065837999999754e-01
4.156500000000000195e-01 1.791388497999999996e-01
4.175899999999999612e-01 1.701381760000000298e-01
4.191199999999999926e-01 1.662618869999999971e-01
4.211199999999999943e-01 1.823431763999999733e-01
4.231000000000000316e-01 1.656954266000000009e-01
4.247500000000000164e-01 1.747861800000000410e-01
4.267900000000000027e-01 1.627312760000000080e-01
4.286399999999999655e-01 1.649855303999999967e-01
4.306399999999999673e-01 1.250612819999999958e-01
4.326399999999999690e-01 1.804511239999999905e-01
4.339700000000000224e-01 1.690211196000000193e-01
4.359200000000000297e-01 1.835161220000000037e-01
4.371899999999999675e-01 1.844642528000000059e-01
4.391899999999999693e-01 1.673444231999999809e-01
4.409000000000000141e-01 1.795532180000000144e-01
4.428000000000000269e-01 1.956700408000000280e-01
4.447200000000000042e-01 1.962796709999999889e-01
4.464000000000000190e-01 1.855779772000000216e-01
4.483199999999999963e-01 2.035757513999999768e-01
4.503199999999999981e-01 2.134602449999999929e-01
4.523600000000000398e-01 2.004419339999999883e-01
4.543600000000000416e-01 2.023705500000000101e-01
4.563600000000000434e-01 2.065703999999999874e-01
4.583699999999999997e-01 2.028279383999999907e-01
4.603700000000000014e-01 2.029289728000000237e-01
4.623600000000000487e-01 2.100955608000000252e-01
4.643600000000000505e-01 1.992082711999999811e-01
4.663600000000000523e-01 1.959308207999999885e-01
4.683500000000000441e-01 2.010334319999999841e-01
4.703500000000000458e-01 1.945889189999999991e-01
4.723300000000000276e-01 2.022138270000000126e-01
4.743300000000000294e-01 2.038414681999999867e-01
4.763300000000000312e-01 1.982398220000000377e-01
4.783300000000000329e-01 2.063496652000000042e-01
4.803300000000000347e-01 2.066838409999999793e-01
4.823300000000000365e-01 2.053734606000000018e-01
4.843100000000000738e-01 2.011469647999999943e-01
4.863100000000000755e-01 1.687129776000000081e-01
4.883100000000000773e-01 1.873577207999999883e-01
4.892900000000000027e-01 1.948604328000000108e-01
4.912900000000000045e-01 1.900441389999999731e-01
4.932900000000000063e-01 1.941127455999999973e-01
4.951500000000000346e-01 2.002997119999999631e-01
4.970700000000000118e-01 2.002578477999999718e-01
4.988900000000000001e-01 1.932906119999999728e-01
5.008899999999999464e-01 1.831615631999999882e-01
5.028899999999999482e-01 1.927758791999999721e-01
5.048899999999999499e-01 1.923923490000000180e-01
5.068300000000000027e-01 1.977245519999999979e-01
5.088300000000000045e-01 1.940522868000000012e-01
5.108300000000000063e-01 1.938517616000000054e-01
